identifier,nonce,originalUrl,thumbnailUrl,id,rank,stats,Species,Rarity Class,Head,Face,Skin,Eyes,Mouth,Earrings,Headgear,Body,Legs,LegAccessories,Background,Perk 1,Perk 2
CEA-2d29f9-c9,201,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/792.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-a6171d4f,792,928,https://metadata.verko.io/dynamic/2/792,Genesis Cantina Elrond Ape,Silver,Default,Red Open,Red,None,Exotic Flower,Punk,Black Beanie,T Shirt Red,Mercenary Pants Blue,Company Bags Blue,Artic,Cool Moves,Overshield
CEA-2d29f9-ca,202,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1475.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-75f5f646,1475,1765,https://metadata.verko.io/dynamic/2/1475,Genesis Cantina Elrond Ape,Bronze,Default,Camo Closed,Camo,None,None,Tribal,None,Bandolier,Tactical Pants Blue,Titan Bags Red,Desert,Elemental Weapons Proficiency,Black Widow
CEA-2d29f9-cb,203,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/768.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-d8530f3b,768,603,https://metadata.verko.io/dynamic/2/768,Genesis Cantina Elrond Ape,Silver,Default,Gold Open,Gold,Cyborg,Candy Cane,None,Red Dad Hat,Company Armor Orange,Tactical Pants Red,Tech Belt Green,Artic,Precision Weapons Proficiency,Stonewall
CEA-2d29f9-cc,204,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1482.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-c1501cd0,1482,1339,https://metadata.verko.io/dynamic/2/1482,Genesis Cantina Elrond Ape,Bronze,Default,Red Open,Red,Cyborg,Lollipop,None,None,Tank Shirt Brown,Tactical Pants Green,Tactical Bags Yellow,Desert,Scavenger,Cold Blooded
CEA-2d29f9-cd,205,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1503.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-937c09c1,1503,1422,https://metadata.verko.io/dynamic/2/1503,Genesis Cantina Elrond Ape,Bronze,Default,Blue Closed,Blue,Cybermeta Tokyo,None,Punk,None,Hoodie Orange,Tactical Pants Black,Tactical Bags Yellow,Desert,Stonewall,Adrenaline Rush
CEA-2d29f9-ce,206,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1963.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-f7e0ea3e,1963,1576,https://metadata.verko.io/dynamic/2/1963,Genesis Cantina Elrond Ape,Bronze,Default,Camo Closed,Camo,Cybermeta Tokyo,None,None,None,Tactical Vest Brown,Pilot Pants White,Titan Bags Green,Desert,Overachiever,Stonewall
CEA-2d29f9-cf,207,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/347.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-b5befdd1,347,64,https://metadata.verko.io/dynamic/2/347,Genesis Cantina Elrond Ape,Epic,Default,Platinum Open,Platinum,MetaScreen EAC,Exotic Flower,Punk,Black Beanie,Cyborg Body Orange,Cyborg Legs Red,Mortars Brown,Outworld,Escape Artist,Scavenger
CEA-2d29f9-d0,208,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1025.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-6d572652,1025,790,https://metadata.verko.io/dynamic/2/1025,Genesis Cantina Elrond Ape,Silver,Augmented,Grey Closed,Augmented,None,None,None,Bob,Pilot Armor Orange,Rogue Pants Orange,Dual Grenades 2 Orange,Artic,Cold Blooded,Stonewall
CEA-2d29f9-d1,209,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1549.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-5c9f57b4,1549,1829,https://metadata.verko.io/dynamic/2/1549,Genesis Cantina Elrond Ape,Bronze,Default,Blue Closed,Blue,None,None,Punk,None,T Shirt Black,Pilot Pants Black,Tactical Bags Brown,Desert,Hodler,Escape Artist
CEA-2d29f9-d2,210,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1211.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-e9ed4f3f,1211,257,https://metadata.verko.io/dynamic/2/1211,Genesis Cantina Elrond Ape,Silver,Augmented,Zombie Open,Zombie,Cybermeta Tokyo,Bubble Gum,Punk,Tennis Headband,Hoodie Green,Tactical Pants Green,Tech Belt Orange,Artic,Stonewall,Cold Blooded
CEA-2d29f9-d3,211,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1232.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-7b79058b,1232,1789,https://metadata.verko.io/dynamic/2/1232,Genesis Cantina Elrond Ape,Silver,Default,Red Closed,Red,None,None,None,None,Leather Vest Green,Tactical Pants Red,Pilot Bags Orange,Artic,Elemental Weapons Proficiency,Grounded
CEA-2d29f9-d4,212,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1832.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-01b462a4,1832,1895,https://metadata.verko.io/dynamic/2/1832,Genesis Cantina Elrond Ape,Bronze,Default,Red Closed,Red,None,None,None,None,Tank Shirt Blue,Pilot Pants White,Titan Bags Red,Desert,Elemental Weapons Proficiency,Stonewall
CEA-2d29f9-d5,213,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/276.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-7073eea3,276,241,https://metadata.verko.io/dynamic/2/276,Genesis Cantina Elrond Ape,Epic,Default,Zombie Open,Zombie,None,Octopus Tentacle,Punk,Paint,Mercenary Armor Black,Rogue Pants Black,Mortars Red,Outworld,Grounded,Brawler
CEA-2d29f9-d6,214,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1800.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-bad2e6f2,1800,1909,https://metadata.verko.io/dynamic/2/1800,Genesis Cantina Elrond Ape,Bronze,Default,Red Closed,Red,None,None,None,None,Leather Vest Black,Tactical Pants Green,Ammo Belt,Desert,Nano Meds,Black Widow
CEA-2d29f9-d7,215,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1722.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-1abba4e9,1722,1142,https://metadata.verko.io/dynamic/2/1722,Genesis Cantina Elrond Ape,Bronze,Default,Camo Open,Camo,Monolaser,Wheat,Punk,None,T Shirt Brown,Pilot Pants Black,Company Bags Green,Desert,Overachiever,Cool Moves
CEA-2d29f9-d8,216,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/314.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-eb55d4a0,314,239,https://metadata.verko.io/dynamic/2/314,Genesis Cantina Elrond Ape,Epic,Augmented,Grey Closed,Augmented,MetaScreen EAC,None,None,Party,Rogue Armor Blue,Pilot Pants Green,Mortars Black,Outworld,Overshield,Cold Blooded
CEA-2d29f9-d9,217,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1764.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-4d1c4fbb,1764,1946,https://metadata.verko.io/dynamic/2/1764,Genesis Cantina Elrond Ape,Bronze,Default,Blue Closed,Blue,None,None,None,None,Tactical Vest Brown,Tactical Pants Green,Company Bags Blue,Desert,Explosive Weapons Proficiency,Hodler
CEA-2d29f9-da,218,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1650.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-6e510e6b,1650,1750,https://metadata.verko.io/dynamic/2/1650,Genesis Cantina Elrond Ape,Bronze,Default,Red Open,Red,None,Bone,None,None,T Shirt Brown,Tactical Pants Green,Titan Bags Brown,Desert,Brawler,Grounded
CEA-2d29f9-db,219,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/348.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-67f5b58b,348,481,https://metadata.verko.io/dynamic/2/348,Genesis Cantina Elrond Ape,Epic,Default,Gold Closed,Gold,MetaScreen Matrix,None,None,Sponge,Pilot Armor White,Mercenary Pants Orange,Dual Grenades 1 Black,Outworld,Stonewall,Adrenaline Rush
CEA-2d29f9-dc,220,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/551.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-3d837ac1,551,831,https://metadata.verko.io/dynamic/2/551,Genesis Cantina Elrond Ape,Gold,Default,Platinum Open,Platinum,None,Wheat,None,Paint,Tactical Vest Green,Tactical Pants Black,Dual Grenades 1 Black,Golden,Black Widow,Elemental Weapons Proficiency
CEA-2d29f9-dd,221,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/2153.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-818b0190,2153,1756,https://metadata.verko.io/dynamic/2/2153,Genesis Cantina Elrond Ape,Bronze,Default,Blue Closed,Blue,Cyborg,None,None,None,Company Armor Black,Tactical Pants Orange,Tactical Bags Blue,Desert,Grounded,Scatter Weapons Proficiency
CEA-2d29f9-de,222,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1906.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-2b0363ca,1906,1342,https://metadata.verko.io/dynamic/2/1906,Genesis Cantina Elrond Ape,Bronze,Default,Camo Open,Camo,Monolaser,Bone,None,None,Hoodie Brown,Tactical Pants Blue,Titan Bags Blue,Desert,Grounded,Elemental Weapons Proficiency
CEA-2d29f9-df,223,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/123.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-21c6e04d,123,490,https://metadata.verko.io/dynamic/2/123,Genesis Cantina Elrond Ape,Epic,Augmented,Gold Closed,Gold,None,None,Punk,Paint,Mercenary Armor Red,Mercenary Pants Green,Dual Grenades 1 Black,Outworld,Scavenger,Stonewall
CEA-2d29f9-e0,224,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/2050.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-b80a2905,2050,1753,https://metadata.verko.io/dynamic/2/2050,Genesis Cantina Elrond Ape,Bronze,Default,Blue Open,Blue,None,Cigar,None,None,T Shirt Green,Pilot Pants Brown,Company Bags Black,Desert,Elemental Weapons Proficiency,Overshield
CEA-2d29f9-e1,225,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/614.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-4496caeb,614,569,https://metadata.verko.io/dynamic/2/614,Genesis Cantina Elrond Ape,Gold,Default,Platinum Open,Platinum,None,Bone,Punk,Red Dad Hat,Company Armor Mk.2 Orange,Titan Pants Blue,Titan Bags Brown,Golden,Overshield,Overachiever
CEA-2d29f9-e2,226,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/774.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-1c17a2ad,774,1390,https://metadata.verko.io/dynamic/2/774,Genesis Cantina Elrond Ape,Silver,Default,Platinum Closed,Platinum,None,Mustache,None,Tennis Headband,T Shirt Green,Company Pants Yellow,None,Artic,Perseverance,Black Widow
CEA-2d29f9-e3,227,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1865.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-2d8e6937,1865,1157,https://metadata.verko.io/dynamic/2/1865,Genesis Cantina Elrond Ape,Bronze,Default,Red Open,Red,Love Glasses,Pacifier,None,None,Tank Shirt Blue,Tactical Pants Brown,Titan Bags Black,Desert,Cold Blooded,Resilience
CEA-2d29f9-e4,228,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1426.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-baf7c3ce,1426,1271,https://metadata.verko.io/dynamic/2/1426,Genesis Cantina Elrond Ape,Bronze,Default,Red Open,Red,Cyborg,Lollipop,None,None,T Shirt Red,Pilot Pants White,Titan Bags Black,Desert,Cold Blooded,Brawler
CEA-2d29f9-e5,229,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/171.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-8d5c23dc,171,148,https://metadata.verko.io/dynamic/2/171,Genesis Cantina Elrond Ape,Epic,Default,Platinum Open,Platinum,Funny Nose,Wheat,Punk,Sponge,Titan Armor Mk.2 Green,Mercenary Pants Green,Quad Grenades 2 Orange,Outworld,Scatter Weapons Proficiency,Overshield
CEA-2d29f9-e6,230,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1356.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-73efc1fb,1356,1050,https://metadata.verko.io/dynamic/2/1356,Genesis Cantina Elrond Ape,Silver,Default,Gold Closed,Gold,Steampunk,None,None,Black Beanie,Company Armor Mk.2 Black,Tactical Pants Red,Titan Bags Brown,Artic,Explosive Weapons Proficiency,Nano Meds
CEA-2d29f9-e7,231,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/419.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-cd308acb,419,502,https://metadata.verko.io/dynamic/2/419,Genesis Cantina Elrond Ape,Gold,Default,Camo Open,Camo,None,Cigar,Punk,Sponge,Company Armor Mk.2 Yellow,Pilot Pants Orange,Tech Belt Grey,Golden,Scatter Weapons Proficiency,Perseverance
CEA-2d29f9-e8,232,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1839.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-8ba7db24,1839,1856,https://metadata.verko.io/dynamic/2/1839,Genesis Cantina Elrond Ape,Bronze,Default,Red Closed,Red,None,None,None,None,Large Vest Brown,Pilot Pants White,Titan Bags Red,Desert,Explosive Weapons Proficiency,Precision Weapons Proficiency
CEA-2d29f9-e9,233,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1674.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-12f7bca6,1674,1262,https://metadata.verko.io/dynamic/2/1674,Genesis Cantina Elrond Ape,Bronze,Default,Red Open,Red,Monolaser,Octopus Tentacle,None,None,Tank Shirt Blue,Tactical Pants Green,Company Bags Brown,Desert,Overachiever,Cold Blooded
CEA-2d29f9-ea,234,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1466.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-2e6150de,1466,1826,https://metadata.verko.io/dynamic/2/1466,Genesis Cantina Elrond Ape,Bronze,Default,Blue Closed,Blue,None,None,Punk,None,Hoodie Red,Tactical Pants Green,Titan Bags Red,Desert,Perseverance,Overshield
CEA-2d29f9-eb,235,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/2102.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-2cd27147,2102,1553,https://metadata.verko.io/dynamic/2/2102,Genesis Cantina Elrond Ape,Bronze,Default,Camo Open,Camo,None,Candy Cane,None,None,T Shirt Blue,Tactical Pants Blue,Company Bags Black,Desert,Cool Moves,Adrenaline Rush
CEA-2d29f9-ec,236,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1611.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-24125103,1611,1742,https://metadata.verko.io/dynamic/2/1611,Genesis Cantina Elrond Ape,Bronze,Default,Red Open,Red,None,Bone,None,None,Large Vest Green,Pilot Pants Brown,Titan Bags Red,Desert,Black Widow,Nano Meds
CEA-2d29f9-ed,237,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/666.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-e2fa129a,666,176,https://metadata.verko.io/dynamic/2/666,Genesis Cantina Elrond Ape,Gold,Default,Grey Open,Augmented,Love Glasses,Pipe,Tribal,Green Dad Hat,Leather Vest Green,Mercenary Pants Blue,Dual Grenades 1 Green,Golden,Stonewall,Overshield
CEA-2d29f9-ee,238,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/550.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-04f99a86,550,731,https://metadata.verko.io/dynamic/2/550,Genesis Cantina Elrond Ape,Gold,Default,Camo Open,Camo,None,Exotic Flower,None,Paint,Titan Armor Red,Rogue Pants Orange,Waistband Red,Golden,Precision Weapons Proficiency,Overachiever
CEA-2d29f9-ef,239,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/153.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-03e4b422,153,867,https://metadata.verko.io/dynamic/2/153,Genesis Cantina Elrond Ape,Epic,Default,Platinum Open,Platinum,None,Candy Cane,None,None,Titan Armor Orange,Mercenary Pants Red,Dagger Holster Black,Outworld,Scatter Weapons Proficiency,Cool Moves
CEA-2d29f9-f0,240,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/443.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-ff309a47,443,1171,https://metadata.verko.io/dynamic/2/443,Genesis Cantina Elrond Ape,Gold,Default,Camo Closed,Camo,3D Glasses,None,None,None,Pilot Armor White,Pilot Pants Black,Waistband Blue,Golden,Cool Moves,Escape Artist
CEA-2d29f9-f1,241,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/139.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-915df1e5,139,411,https://metadata.verko.io/dynamic/2/139,Genesis Cantina Elrond Ape,Epic,Default,Platinum Open,Platinum,MetaScreen Red,Pipe,None,None,Mercenary Armor Red,Titan Pants Orange,Dagger Holster Black,Outworld,Black Widow,Cold Blooded
CEA-2d29f9-f2,242,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/856.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-fecdb3f5,856,1372,https://metadata.verko.io/dynamic/2/856,Genesis Cantina Elrond Ape,Silver,Default,Red Open,Red,None,Lollipop,None,Skull,Company Armor Red,Rogue Pants Orange,None,Artic,Adrenaline Rush,Automatic Weapons Proficiency
CEA-2d29f9-f3,243,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/404.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-f28b2d72,404,774,https://metadata.verko.io/dynamic/2/404,Genesis Cantina Elrond Ape,Gold,Default,Camo Open,Camo,Steampunk,Bone,None,Black Beanie,Mercenary Armor Green,Pilot Pants Black,Dual Grenades 2 Blue,Golden,Overshield,Nano Meds
CEA-2d29f9-f4,244,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/996.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-416146c2,996,1070,https://metadata.verko.io/dynamic/2/996,Genesis Cantina Elrond Ape,Silver,Default,Blue Open,Blue,Love Glasses,Bubble Gum,None,None,Pilot Armor Black,Tactical Pants Black,Dual Grenades 1 Orange,Artic,Resilience,Escape Artist
CEA-2d29f9-f5,245,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/815.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-b94ba0c7,815,1175,https://metadata.verko.io/dynamic/2/815,Genesis Cantina Elrond Ape,Silver,Default,Grey Closed,Augmented,Funny Nose,None,None,None,Pilot Armor Brown,Pilot Pants Green,Dual Grenades 2 Black,Artic,Overshield,Brawler
CEA-2d29f9-f6,246,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/467.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-117bca30,467,277,https://metadata.verko.io/dynamic/2/467,Genesis Cantina Elrond Ape,Gold,Default,Camo Open,Camo,Monolaser,Party Blower,Tribal,Wizzard,Titan Armor Red,Mercenary Pants Green,Dagger Holster Black,Golden,Stonewall,Galvanized
CEA-2d29f9-f7,247,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/2025.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-ceb3b0e1,2025,1851,https://metadata.verko.io/dynamic/2/2025,Genesis Cantina Elrond Ape,Bronze,Default,Red Closed,Red,None,None,None,None,Hoodie Red,Pilot Pants Black,Radio,Desert,Cold Blooded,Cool Moves
CEA-2d29f9-f8,248,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1908.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-7f86a92c,1908,1364,https://metadata.verko.io/dynamic/2/1908,Genesis Cantina Elrond Ape,Bronze,Default,Blue Open,Blue,Cyborg,Exotic Flower,None,None,Hoodie Orange,Tactical Pants Green,Titan Bags Green,Desert,Black Widow,Explosive Weapons Proficiency
CEA-2d29f9-f9,249,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/568.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-0d85df6d,568,1009,https://metadata.verko.io/dynamic/2/568,Genesis Cantina Elrond Ape,Gold,Default,Grey Open,Augmented,None,Exotic Flower,Punk,None,Company Armor Mk.2 Red,Pilot Pants Brown,Tactical Bags Brown,Golden,Nano Meds,Brawler
CEA-2d29f9-fa,250,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/2026.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-780b4785,2026,1805,https://metadata.verko.io/dynamic/2/2026,Genesis Cantina Elrond Ape,Bronze,Default,Blue Open,Blue,None,Bone,None,None,Bandolier,Company Pants Black,Tactical Bags Brown,Desert,Brawler,Stonewall
CEA-2d29f9-fb,251,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/510.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-8cbbbb7b,510,512,https://metadata.verko.io/dynamic/2/510,Genesis Cantina Elrond Ape,Gold,Default,Gold Open,Gold,Steampunk,Bone,None,Wizzard,Tactical Vest Orange,Tactical Pants Green,Dual Grenades 2 Orange,Golden,Stonewall,Scatter Weapons Proficiency
CEA-2d29f9-fc,252,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/804.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-f6dc1c79,804,1153,https://metadata.verko.io/dynamic/2/804,Genesis Cantina Elrond Ape,Silver,Default,Red Closed,Red,Love Glasses,None,Punk,None,Mercenary Armor Blue,Company Pants Orange,Pilot Bags Green,Artic,Hodler,Automatic Weapons Proficiency
CEA-2d29f9-fd,253,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/424.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-1c885a8d,424,331,https://metadata.verko.io/dynamic/2/424,Genesis Cantina Elrond Ape,Gold,Default,Grey Open,Augmented,None,Bone,Punk,Red Beanie,Company Armor Yellow,Titan Pants Blue,Waistband Black,Golden,Cool Moves,Hodler
CEA-2d29f9-fe,254,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/442.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-3f112ec0,442,399,https://metadata.verko.io/dynamic/2/442,Genesis Cantina Elrond Ape,Gold,Default,Gold Open,Gold,Cybermeta Tokyo,Bone,Punk,Party,Large Vest Red,Pilot Pants Green,Tactical Bags Brown,Golden,Scavenger,Elemental Weapons Proficiency
CEA-2d29f9-ff,255,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1616.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-b1e24421,1616,949,https://metadata.verko.io/dynamic/2/1616,Genesis Cantina Elrond Ape,Bronze,Default,Camo Open,Camo,Monolaser,Bubble Gum,Tribal,None,Leather Vest Brown,Tactical Pants Brown,Titan Bags Green,Desert,Elemental Weapons Proficiency,Scavenger
CEA-2d29f9-0100,256,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/2028.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-aa326306,2028,1507,https://metadata.verko.io/dynamic/2/2028,Genesis Cantina Elrond Ape,Bronze,Default,Camo Closed,Camo,Cybermeta Tokyo,None,None,None,T Shirt Blue,Tactical Pants Brown,Titan Bags Green,Desert,Automatic Weapons Proficiency,Grounded
CEA-2d29f9-0101,257,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1103.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-1bb26255,1103,834,https://metadata.verko.io/dynamic/2/1103,Genesis Cantina Elrond Ape,Silver,Default,Grey Open,Augmented,None,Bubble Gum,None,Bowler,Pilot Armor Orange,Company Pants Yellow,Tech Belt Grey,Artic,Brawler,Elemental Weapons Proficiency
